gene_id,Groups,TCGA.BH.A1EV,TCGA.BH.A1F8,TCGA.BH.A1F0,TCGA.AC.A2FM,TCGA.BH.A1F2,TCGA.BH.A1FD,TCGA.BH.A1FH,TCGA.BH.A203,TCGA.BH.A1EU,TCGA.BH.A1FM,TCGA.BH.A1FR,TCGA.BH.A1EW,TCGA.BH.A208,TCGA.BH.A1FJ,TCGA.BH.A1EN,TCGA.BH.A1FN,TCGA.BH.A1FE,TCGA.BH.A1ET,TCGA.BH.A204,TCGA.BH.A1EO,TCGA.BH.A1F6,TCGA.BH.A1FC,TCGA.BH.A1FB,TCGA.BH.A1FG,TCGA.BH.A209
 , ,Early,Early,Early,Early,Early,Early,Early,Early,Early,Early,Early,Early,Early,Early,Early,Early,Early,Late,Late,Late,Late,Late,Late,Late,Late
ENSG00000175356.11,na,3.174930866,5.143725888,0.737474363,5.135097683,4.017525954,4.466635964,3.876460033,3.190669386,6.703001133,5.620662413,6.563235071,4.606023941,3.206633105,5.125861662,4.754627557,1.685965741,5.595140566,2.491308164,7.001748543,6.047851824,0.578022652,0.60849473,5.111833091,6.580075996,1.944723688
ENSG00000277054.1,na,0.841459646,0.26418822,3.179384723,6.758520709,0,0.511086135,2.088877771,0.569312252,3.880348239,0,2.465152908,2.856214399,0,0.522476393,0,0,2.06181136,0.866167813,1.190568952,0,1.291611396,2.687328007,2.164934033,3.914600233,4.595813404
ENSG00000135750.13,na,4.242377111,4.035035354,1.161140117,2.430527623,4.220520381,3.704027247,2.507306135,4.089878686,0.564541463,3.856713931,1.216104566,4.853361507,2.023804285,3.532715653,0.243244759,4.195672863,3.175722221,0.665906156,0.957492508,2.952463134,3.22181055,1.722518134,2.922714894,1.776351701,1.429488149
ENSG00000154198.13,na,2.865912635,2.648866737,0.065034902,1.008702358,4.51638602,0.467894297,1.2413019,4.348860071,2.321402238,2.901613721,2.732117391,1.562774151,0.921479088,0.487494337,0,3.826954252,2.938871235,3.920651582,0.107074436,4.709991902,0.020766385,0,2.607313175,1.254536399,2.918308766
ENSG00000135114.11,na,1.290295057,4.21360361,4.762067145,1.059328777,1.833460485,4.17642665,1.319745829,1.709940376,2.246092204,1.352181755,1.515149614,3.838285492,1.031367451,3.041741947,0.293562498,3.752809156,2.746922378,1.030069496,0.250490012,1.418888154,3.887603036,2.786148958,1.658036289,3.361847252,4.399055112
ENSG00000107317.10,na,1.401083986,1.193599138,5.595992869,1.508962431,1.08265107,1.846881279,4.955522118,2.450550051,4.035854902,1.676575243,2.912869267,3.415965923,1.839001992,0.823203382,0.753073217,1.803557343,4.310508783,1.270727967,0.153379854,1.162047977,3.708324425,2.166430341,4.791993338,1.868944438,4.070990817
ENSG00000156234.7,na,0.082737142,1.412906505,6.649093267,0.797510339,0.97883887,1.739252093,1.734928759,3.11795295,4.342144555,0.469676666,1.905747267,1.531298034,0.860678248,0.485557454,0.083279101,2.37909427,5.480817482,0.67459845,0.070644644,2.078700867,2.480739178,6.59513909,4.588813536,0.279135895,7.044810092
ENSG00000114248.8,na,2.535338715,0.114541015,0,0,1.663172653,3.115207331,0.647489116,0,2.706070118,0.027327983,1.51174344,0.851886912,2.471201716,3.64207266,3.273937894,0.342191655,0.102236635,4.52512257,0.032904417,0.04833714,0,0.013965868,0.038244846,0,0.056703157
ENSG00000125730.15,na,5.183161278,4.147749532,6.905962056,2.597245915,5.688077051,5.433132006,6.579849999,5.168815499,7.305914586,2.082198307,6.175026447,6.451290775,6.527161596,4.093810885,3.975348879,3.234664134,6.920131093,5.860128934,4.130527494,6.675864008,8.22741395,5.015713289,7.355870215,3.929024788,6.45891235
ENSG00000147168.11,na,0.957976781,2.348071232,4.937414124,1.515826542,1.612153999,2.506528538,2.540849614,3.730477113,4.347541136,1.488707244,2.756652948,3.387655011,2.913526947,0.789628745,1.083668237,2.111393976,4.829114665,2.415466931,0.69998364,3.187255378,4.065888428,4.828168636,4.570774619,1.923959489,5.652269919
ENSG00000243264.2,na,0.780692253,1.849776289,5.455110208,0.220372486,0.180897859,1.153385997,2.584579056,0.345892505,1.168557827,0.200157344,1.744748565,4.421257568,4.311599473,0.232129626,0.511137554,0.153943893,2.691796555,3.21220214,0,0.092602612,2.269857555,6.781531864,2.27289069,1.101328622,6.378888461
ENSG00000022556.14,na,3.386354048,0.046276931,1.079855769,0.062731512,4.113429918,3.693563162,0.59898116,3.061334468,1.936372982,2.700929671,2.494116684,2.779071799,1.514361682,0.034685951,2.942138933,0.118517904,4.233454349,2.838491733,1.403950672,3.697217685,0.295764297,1.152607059,1.629003915,0.041288843,3.405112543
ENSG00000137673.7,na,2.786107617,2.595459026,7.089600838,1.05648859,2.722727923,1.351566143,1.530428807,3.878003024,2.709157965,1.708368632,2.018706525,0.820439899,5.174298413,2.486723399,0.443558488,1.213199985,4.037173721,3.601643789,0.190711534,3.127518092,6.725474712,8.300335893,5.318228077,3.656653578,1.414286419
ENSG00000132746.13,na,5.440395778,5.589643242,2.250426409,7.505990545,6.34566126,3.079954352,4.035581531,6.432527961,2.357798206,3.683773506,5.825919845,2.919620325,6.455892839,3.579719794,6.056421138,4.12751293,4.12122813,5.573128489,4.705884632,4.898214538,3.124386098,1.568381622,4.501985554,4.381553983,0.845755848
ENSG00000119917.12,na,3.219114746,6.867677174,7.387563214,2.767116299,3.554325408,6.23430362,4.235683186,3.753952202,4.635798718,3.022455809,3.497639503,6.356351267,3.928071165,4.894853572,1.893900428,5.964572162,5.220622662,3.44331017,1.779354646,3.871852297,6.181764254,4.250295506,3.685747261,5.28899638,6.451402379
ENSG00000103534.15,na,3.512041542,2.907302595,2.298776925,1.414166885,3.383305658,1.534059291,2.734059973,0.742644968,3.721820659,0.277199608,1.981841134,2.67780288,1.227047545,2.878230304,4.157707629,3.661863813,3.939353357,4.754522338,0.202700068,3.664030505,1.093770453,0.010214077,3.87004035,1.108579753,1.19426999
ENSG00000069702.9,na,4.299822771,1.048387301,4.424885051,1.438326359,2.873576151,4.741202609,4.572726596,1.193870474,3.866533783,0.754693317,2.050210184,4.508038028,1.996857649,3.394608277,1.190885513,3.0857434,2.839038446,3.228043917,1.11241076,2.080292125,2.45117961,1.013810182,3.623678897,1.16155198,3.664488991
